headcode,origin_location,origin_departure,gps_car_id,total_matching,median_time_error,end,start,iqr_time_error,matched_over_total
5J52,MNCROXR,2016-03-29 23:00:00,150223,1,-4.2,2016-03-30 00:04:17,2016-03-30 00:00:00,0.083333333333333,1
5T54,BLKB,2016-03-29 23:22:00,150222,4,-0.533333333333333,2016-03-30 00:19:52,2016-03-30 00:01:00,0.333333333333333,0.8
5C96,GOOLE,2016-03-29 23:45:00,153359,1,-3.2,2016-03-30 00:04:12,2016-03-30 00:00:00,1,1
1N86,LVRPLSH,2016-03-29 23:02:00,156441,4,-2.05,2016-03-30 00:16:23,2016-03-30 00:01:00,1.95833333333333,0.8
2C97,HULL,2016-03-29 22:20:00,158902,1,-1.63333333333333,2016-03-30 00:03:38,2016-03-30 00:02:00,0,1
1N86,LVRPLSH,2016-03-29 23:02:00,150149,1,2.85,2016-03-30 00:12:00,2016-03-30 00:09:09,0,0.2
5H28,ALDEDGE,2016-03-29 23:46:00,156425,4,-0.233333333333333,2016-03-30 00:10:00,2016-03-30 00:01:00,3.25,0.8
2H33,CHST,2016-03-29 22:48:00,156425,1,-0.0666666666666667,2016-03-30 00:10:04,2016-03-30 00:10:00,0,0.142857142857143
5J52,MNCROXR,2016-03-29 23:00:00,142037,1,-3.25,2016-03-30 00:03:55,2016-03-30 00:00:00,0.666666666666667,1
2W97,LEEDS,2016-03-29 23:08:00,150226,3,-0.666666666666667,2016-03-30 00:09:10,2016-03-30 00:00:00,0.333333333333333,1
5M76,RCHDALE,2016-03-29 23:55:00,150222,1,-3.61666666666667,2016-03-30 00:14:42,2016-03-30 00:11:00,0.0833333333333335,1
5T09,MNCRPIC,2016-03-30 00:07:00,156482,3,-2.7,2016-03-30 00:07:57,2016-03-30 00:03:00,0.708333333333333,0.428571428571429
5J93,SBYD,2016-03-29 23:38:00,150134,1,2.71666666666667,2016-03-30 00:03:00,2016-03-30 00:00:17,0,1
