headcode,origin_location,origin_departure,gps_car_id,total_matching,median_time_error,end,start,iqr_time_error,matched_over_total
1D16,KNGX,2015-03-17 13:35:00,40737,15,-0.383333333333333,2015-03-17 14:28:57,2015-03-17 13:35:00,0.816666666666667,1
1E18,EDINBUR,2015-03-17 14:00:00,82220,5,-0.866666666666667,2015-03-17 14:26:10,2015-03-17 13:59:00,0.816666666666667,0.833333333333333
1E13,IVRNESS,2015-03-17 07:55:00,40705,75,-0.633333333333333,2015-03-17 14:28:04,2015-03-17 07:55:00,0.816666666666667,0.986842105263158
1S03,LEEDS,2015-03-17 07:10:00,40732,72,-0.716666666666667,2015-03-17 12:58:43,2015-03-17 07:09:00,0.804166666666667,1
1A09,LEEDS,2015-03-17 07:15:00,40708,34,-0.816666666666667,2015-03-17 09:28:38,2015-03-17 07:14:00,0.804166666666666,1
1A18,LEEDS,2015-03-17 08:45:00,82211,33,-0.7,2015-03-17 10:56:17,2015-03-17 08:45:00,0.8,0.970588235294118
1N12,KNGX,2015-03-17 10:30:00,82229,45,-0.683333333333333,2015-03-17 13:37:35,2015-03-17 10:29:00,0.8,0.978260869565217
5D02,FRMPKRS,2015-03-17 02:27:00,82215,4,-0.775,2015-03-17 03:10:09,2015-03-17 02:45:00,0.8,0.8
1S09,KNGX,2015-03-17 09:00:00,82220,55,-0.675,2015-03-17 13:19:59,2015-03-17 08:59:00,0.775,0.932203389830508
1D14,KNGX,2015-03-17 12:35:00,82215,30,-0.7,2015-03-17 14:31:18,2015-03-17 12:34:00,0.7625,0.967741935483871
1A02,LEEDS,2015-03-17 05:30:00,82223,34,-0.725,2015-03-17 07:53:00,2015-03-17 05:29:00,0.7625,0.971428571428571
1Y14,BRWCKUT,2015-03-17 06:00:00,82201,50,-0.633333333333333,2015-03-17 09:59:34,2015-03-17 06:00:00,0.758333333333333,0.980392156862745
1S02,DONC,2015-03-17 06:15:00,82212,39,-0.933333333333333,2015-03-17 09:20:08,2015-03-17 06:14:00,0.758333333333333,1
1A22,LEEDS,2015-03-17 10:15:00,82216,32,-0.675,2015-03-17 12:28:08,2015-03-17 10:18:00,0.75,0.96969696969697
1S07,KNGX,2015-03-17 08:00:00,82204,54,-0.8,2015-03-17 12:18:03,2015-03-17 07:59:00,0.75,0.964285714285714
1A26,LEEDS,2015-03-17 11:15:00,82223,33,-0.65,2015-03-17 13:28:43,2015-03-17 11:16:00,0.7375,0.970588235294118
1N80,KNGX,2015-03-17 07:08:00,82207,33,-0.733333333333333,2015-03-17 09:24:55,2015-03-17 07:07:00,0.733333333333333,0.970588235294118
1A31,LEEDS,2015-03-17 13:15:00,82214,18,-0.766666666666667,2015-03-17 14:29:19,2015-03-17 13:17:00,0.725,1
1Y03,NWCSTLE,2015-03-17 04:45:00,82222,44,-0.675,2015-03-17 08:10:03,2015-03-17 04:45:00,0.7,0.977777777777778
1D01,KNGX,2015-03-17 05:50:00,82211,36,-0.866666666666667,2015-03-17 08:15:53,2015-03-17 05:49:00,0.691666666666667,0.947368421052632
1S10,KNGX,2015-03-17 09:30:00,82203,59,-0.825,2015-03-17 14:12:27,2015-03-17 09:29:00,0.683333333333333,0.967213114754098
1B81,LINCLNC,2015-03-17 07:20:00,40742,23,-0.691666666666667,2015-03-17 09:24:31,2015-03-17 07:20:00,0.679166666666667,1
1D08,KNGX,2015-03-17 09:35:00,82205,33,-0.9,2015-03-17 11:45:47,2015-03-17 09:35:00,0.675,0.970588235294118
1Y11,NWCSTLE,2015-03-17 06:30:00,82209,42,-0.583333333333333,2015-03-17 09:40:35,2015-03-17 06:30:00,0.670833333333333,0.976744186046512
3S02,NEVLTMD,2015-03-17 04:50:00,82212,10,-0.633333333333333,2015-03-17 05:42:59,2015-03-17 04:45:00,0.670833333333333,0.909090909090909
1A28,LEEDS,2015-03-17 11:45:00,82222,33,-0.6,2015-03-17 13:57:19,2015-03-17 11:45:00,0.666666666666667,0.970588235294118
1A19,LEEDS,2015-03-17 09:16:00,82215,34,-0.725,2015-03-17 11:26:42,2015-03-17 09:17:00,0.6625,1
3A00,BNDSGRN,2015-03-17 01:00:00,82204,25,-0.716666666666667,2015-03-17 04:12:22,2015-03-17 00:48:51,0.65,1
1S06,KNGX,2015-03-17 07:30:00,82208,60,-0.808333333333333,2015-03-17 12:08:07,2015-03-17 07:29:00,0.6375,0.967741935483871
1D12,KNGX,2015-03-17 11:35:00,82219,33,-0.95,2015-03-17 13:51:13,2015-03-17 11:34:00,0.633333333333333,0.970588235294118
1D03,KNGX,2015-03-17 07:05:00,82200,33,-0.866666666666667,2015-03-17 09:18:00,2015-03-17 07:04:00,0.633333333333333,0.970588235294118
1D09,KNGX,2015-03-17 10:03:00,40708,34,-0.883333333333333,2015-03-17 12:14:33,2015-03-17 10:02:00,0.625,1
1E04,EDINBUR,2015-03-17 06:55:00,82206,61,-0.708333333333333,2015-03-17 11:42:53,2015-03-17 06:55:00,0.620833333333333,0.983870967741935
1E09,EDINBUR,2015-03-17 09:30:00,82212,52,-0.583333333333333,2015-03-17 13:48:48,2015-03-17 09:29:00,0.616666666666667,0.962962962962963
1S11,KNGX,2015-03-17 10:00:00,40742,57,-0.75,2015-03-17 14:29:39,2015-03-17 09:59:00,0.616666666666667,0.95
1Y08,NWCSTLE,2015-03-17 06:00:00,40704,44,-0.616666666666667,2015-03-17 09:04:30,2015-03-17 05:59:00,0.608333333333333,1
1E07,EDINBUR,2015-03-17 08:30:00,40748,54,-0.7,2015-03-17 12:50:18,2015-03-17 08:29:00,0.6,0.964285714285714
