headcode,origin_location,origin_departure,gps_car_id,total_matching,median_time_error,end,start,iqr_time_error,matched_over_total
1N04,KNGX,2015-03-17 06:15:00,82204,3,-1.58333333333333,2015-03-17 06:39:00,2015-03-17 06:34:00,3.5,0.214285714285714
1S01,NWCSTLE,2015-03-17 06:22:00,82201,2,-1.64166666666667,2015-03-17 06:39:13,2015-03-17 06:35:00,1.925,0.333333333333333
1A01,LEEDS,2015-03-17 05:05:00,82215,1,-1,2015-03-17 07:01:00,2015-03-17 07:00:00,0,0.037037037037037
1A02,LEEDS,2015-03-17 05:30:00,82211,1,1.8,2015-03-17 06:54:00,2015-03-17 06:52:12,0,0.0434782608695652
1D02,KNGX,2015-03-17 06:30:00,40737,1,-0.633333333333333,2015-03-17 07:00:38,2015-03-17 07:00:00,0,0.0909090909090909
1A00,NEWANG,2015-03-17 05:35:00,82228,1,1.79166666666667,2015-03-17 06:48:00,2015-03-17 06:45:37,0.591666666666667,0.05
5A09,NEVLTMD,2015-03-17 06:31:00,82205,1,-4.21666666666667,2015-03-17 06:49:13,2015-03-17 06:45:00,0,0.333333333333333
1A01,LEEDS,2015-03-17 05:05:00,82217,1,0.183333333333333,2015-03-17 06:53:00,2015-03-17 06:52:49,0,0.037037037037037
5D04,BNDSGRN,2015-03-17 06:33:00,82215,1,3.03333333333333,2015-03-17 06:38:00,2015-03-17 06:34:58,0,0.2
1N04,KNGX,2015-03-17 06:15:00,40737,1,-1.43333333333333,2015-03-17 06:53:26,2015-03-17 06:52:00,0,0.0714285714285714
1S02,DONC,2015-03-17 06:15:00,82203,2,0.266666666666667,2015-03-17 06:40:00,2015-03-17 06:36:00,2,0.181818181818182
5E05,CRGNTNY,2015-03-17 06:57:00,82206,1,0.283333333333333,2015-03-17 06:58:00,2015-03-17 06:57:43,0,0.5
1E04,EDINBUR,2015-03-17 06:55:00,40711,9,-2.58333333333333,2015-03-17 11:43:56,2015-03-17 06:55:00,0.5,0.145161290322581
1S06,KNGX,2015-03-17 07:30:00,40737,1,1.66666666666667,2015-03-17 07:29:00,2015-03-17 07:27:20,0,0.333333333333333
1N04,KNGX,2015-03-17 06:15:00,82203,2,0.691666666666667,2015-03-17 07:29:00,2015-03-17 07:27:09,0.816666666666667,0.1
1A02,LEEDS,2015-03-17 05:30:00,82207,2,0.533333333333333,2015-03-17 07:32:55,2015-03-17 07:28:00,3.425,0.0689655172413793
1N04,KNGX,2015-03-17 06:15:00,40702,1,-4.76666666666667,2015-03-17 07:26:46,2015-03-17 07:22:00,0,0.05
1N80,KNGX,2015-03-17 07:08:00,82223,3,-1.9,2015-03-17 07:32:00,2015-03-17 07:27:00,3.73333333333333,0.3
1Y03,NWCSTLE,2015-03-17 04:45:00,82215,2,-0.791666666666667,2015-03-17 07:21:51,2015-03-17 07:19:00,1.11666666666667,0.0571428571428571
1N80,KNGX,2015-03-17 07:08:00,82220,1,0.616666666666667,2015-03-17 07:16:51,2015-03-17 07:09:24,3.13333333333333,0.1
1N80,KNGX,2015-03-17 07:08:00,82225,1,4.76666666666667,2015-03-17 07:13:00,2015-03-17 07:08:14,0,0.1
1Y05,NWCSTLE,2015-03-17 05:25:00,82211,2,0.15,2015-03-17 07:17:34,2015-03-17 07:15:38,1.46666666666667,0.0666666666666667
1A07,BRADFS,2015-03-17 06:30:00,82229,2,4.18333333333333,2015-03-17 07:46:00,2015-03-17 06:41:51,0.0333333333333332,0.0833333333333333
1N80,KNGX,2015-03-17 07:08:00,82200,8,2.08333333333333,2015-03-17 07:57:00,2015-03-17 07:05:39,1.05,0.5
